epoch,acc,loss
0,0.08906070603281643,6.4223598057864715
1,0.19882424753327935,4.988071472087247
2,0.2654017759829611,4.233251652019802
3,0.3129332771383668,3.7572191428030757
4,0.3499135262400628,3.4055556266525815
5,0.38389262720362755,3.1239724229684858
6,0.4131047713181712,2.8887834410210242
7,0.443356053890299,2.6840820716211087
8,0.4683680439490168,2.510416602195093
9,0.49539291060632507,2.357603957074489
10,0.5160303457488394,2.225148977031594
11,0.5368276483499484,2.1028726590323004
12,0.5550234714504252,2.004733465417351
13,0.5724272239769037,1.910084614816856
14,0.5874620314784891,1.8259106004881065
15,0.6004330954708039,1.7572977909616372
16,0.6128954902826862,1.689947496391634
17,0.6232796081819991,1.6311539082072064
18,0.6321595186540585,1.579959292584848
19,0.6423401688785996,1.534504399304542
20,0.65180141555365,1.4864657668121983
21,0.6577601116182832,1.4499656692384826
22,0.666618221984961,1.4112134054815344
23,0.6712180446782858,1.3821160301685451
24,0.677467408839217,1.3481716618858142
25,0.6827503015690206,1.3227635695751792
26,0.6875390585286209,1.2966685729828118
27,0.6931416861656517,1.271858808874992
28,0.6977487755606261,1.2474210694076442
29,0.7000014533431019,1.2286579789618748
30,0.7041798072853168,1.211007894678529
31,0.7084235615553708,1.1910368316037412
32,0.7110831746787276,1.1745348043698323
33,0.7151743281924862,1.15836885892905
34,0.7171000043626203,1.140132368980486
35,0.7199558184469719,1.1272620471835662
36,0.7226590317871556,1.1138225398200945
37,0.7260162483450927,1.101262308427286
38,0.7278765241934515,1.0879400466225688
39,0.7298312671701834,1.0787011362683823
