epoch,acc,loss
0,0.06910634092494007,6.622101078417096
1,0.16162599735513686,5.419268164700609
2,0.21436045751180696,4.741089019919259
3,0.2568270670137472,4.283494456100192
4,0.29121310331884265,3.9503516181189204
5,0.3193788422702546,3.694591660374624
6,0.3436496286741002,3.4853167114432173
7,0.3629281904459561,3.309943151596661
8,0.3814219483487116,3.160491185483722
9,0.39694362492188295,3.0322037956168435
10,0.4136134404934062,2.916274063140927
11,0.42552356591669166,2.8129599273429164
12,0.4394538346402169,2.720814523996001
13,0.4499178862615722,2.642238686995947
14,0.463165084947969,2.5685326744023707
15,0.47381807083668237,2.500096939316493
16,0.4830104495184342,2.4383663905140396
17,0.49219556150070215,2.383209887819729
18,0.5014097402906509,2.330470111308513
19,0.5085601755661315,2.2851235811383295
20,0.515696077433982,2.239078782849996
21,0.5229627799497144,2.1971064756607768
22,0.530643684510143,2.1568461810365958
23,0.5363189791736306,2.123909266629439
24,0.5402429985347249,2.0927770732334685
25,0.5450680890030055,2.0641338224458274
26,0.5518406557489676,2.0323419530589857
27,0.5571162817740899,2.0065874785939806
28,0.5617088377644659,1.9764038080573627
29,0.5656255904221782,1.9542217661121783
30,0.5704870144017381,1.9315831519850988
31,0.5721002223615301,1.9121055530261635
32,0.5765692444065399,1.889506393587615
33,0.5793305913642507,1.871795208364353
34,0.5846425509049836,1.8517634400374487
35,0.5860595578929527,1.8315166269204626
36,0.588559303559664,1.8185893275833502
37,0.5912988504102608,1.8043028039094544
38,0.5935151946740942,1.7873563754421176
39,0.5964800092996467,1.773827742611693
